2022-02-02/21:07:27		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-02/21:07:28		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-02/21:07:28		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-02/21:07:28		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-02/21:07:28		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-02/21:07:28		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-02/21:07:28		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-02/21:07:28		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-02/21:07:28		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-02/21:07:29		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-02/21:07:29		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-02/21:07:29		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-02/21:07:29		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-02/21:07:29		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-02/21:07:29		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-02/21:07:29		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-02/21:07:29		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-02/21:07:30		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-02/21:07:30		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-02/21:07:30		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-02/21:07:30		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-02/21:07:30		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-02/21:07:30		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-02/21:07:30		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-02/21:07:30		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-02/21:07:31		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-02/21:07:31		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-02/21:07:31		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-02/21:07:31		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-02/21:07:31		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-02/21:07:31		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-02/21:07:31		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-02/21:07:31		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-02/21:07:31		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-02/21:07:32		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-02/21:07:32		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-02/21:07:32		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-02/21:07:32		 wafer_13012020_090817.csv: File loaded successfully!!
